Iteration : 4850 | Loss : 0.323227 | Accuracy : 90.651667
Iteration : 4900 | Loss : 0.321992 | Accuracy : 90.700000
Iteration : 4950 | Loss : 0.320776 | Accuracy : 90.718333
Iteration : 5000 | Loss : 0.319577 | Accuracy : 90.761667
Iteration : 5050 | Loss : 0.318394 | Accuracy : 90.808333
Iteration : 5100 | Loss : 0.317228 | Accuracy : 90.840000
Iteration : 5150 | Loss : 0.316077 | Accuracy : 90.881667
Iteration : 5200 | Loss : 0.314941 | Accuracy : 90.908333
Iteration : 5250 | Loss : 0.313821 | Accuracy : 90.943333
Iteration : 5300 | Loss : 0.312714 | Accuracy : 90.976667
Iteration : 5350 | Loss : 0.311622 | Accuracy : 91.010000
Iteration : 5400 | Loss : 0.310543 | Accuracy : 91.050000
Iteration : 5450 | Loss : 0.309478 | Accuracy : 91.075000
Iteration : 5500 | Loss : 0.308426 | Accuracy : 91.100000
Iteration : 5550 | Loss : 0.307386 | Accuracy : 91.131667
Iteration : 5600 | Loss : 0.306358 | Accuracy : 91.171667
Iteration : 5650 | Loss : 0.305342 | Accuracy : 91.205000
Iteration : 5700 | Loss : 0.304338 | Accuracy : 91.238333
Iteration : 5750 | Loss : 0.303347 | Accuracy : 91.261667
Iteration : 5800 | Loss : 0.302367 | Accuracy : 91.283333
Iteration : 5850 | Loss : 0.301398 | Accuracy : 91.323333
Iteration : 5900 | Loss : 0.300441 | Accuracy : 91.350000
Iteration : 5950 | Loss : 0.299495 | Accuracy : 91.395000
Iteration : 6000 | Loss : 0.298559 | Accuracy : 91.420000
Iteration : 6050 | Loss : 0.297634 | Accuracy : 91.443333
Iteration : 6100 | Loss : 0.296718 | Accuracy : 91.468333
Iteration : 6150 | Loss : 0.295812 | Accuracy : 91.495000
Iteration : 6200 | Loss : 0.294916 | Accuracy : 91.528333
Iteration : 6250 | Loss : 0.294029 | Accuracy : 91.555000
Iteration : 6300 | Loss : 0.293152 | Accuracy : 91.566667
Iteration : 6350 | Loss : 0.292283 | Accuracy : 91.581667
Iteration : 6400 | Loss : 0.291424 | Accuracy : 91.596667
Iteration : 6450 | Loss : 0.290574 | Accuracy : 91.616667
Iteration : 6500 | Loss : 0.289732 | Accuracy : 91.650000
Iteration : 6550 | Loss : 0.288899 | Accuracy : 91.670000
Iteration : 6600 | Loss : 0.288075 | Accuracy : 91.683333
Iteration : 6650 | Loss : 0.287259 | Accuracy : 91.701667
Iteration : 6700 | Loss : 0.286450 | Accuracy : 91.728333
Iteration : 6750 | Loss : 0.285649 | Accuracy : 91.758333
Iteration : 6800 | Loss : 0.284856 | Accuracy : 91.775000
Iteration : 6850 | Loss : 0.284071 | Accuracy : 91.805000
Iteration : 6900 | Loss : 0.283294 | Accuracy : 91.813333
Iteration : 6950 | Loss : 0.282524 | Accuracy : 91.826667
Iteration : 7000 | Loss : 0.281762 | Accuracy : 91.860000
Iteration : 7050 | Loss : 0.281006 | Accuracy : 91.886667
Iteration : 7100 | Loss : 0.280258 | Accuracy : 91.906667
Iteration : 7150 | Loss : 0.279516 | Accuracy : 91.921667
Iteration : 7200 | Loss : 0.278781 | Accuracy : 91.940000
Iteration : 7250 | Loss : 0.278052 | Accuracy : 91.966667
Iteration : 7300 | Loss : 0.277329 | Accuracy : 91.995000
Iteration : 7350 | Loss : 0.276613 | Accuracy : 92.018333
Iteration : 7400 | Loss : 0.275903 | Accuracy : 92.028333
Iteration : 7450 | Loss : 0.275199 | Accuracy : 92.045000
Iteration : 7500 | Loss : 0.274502 | Accuracy : 92.055000
Iteration : 7550 | Loss : 0.273810 | Accuracy : 92.070000
Iteration : 7600 | Loss : 0.273125 | Accuracy : 92.095000
Iteration : 7650 | Loss : 0.272444 | Accuracy : 92.116667
Iteration : 7700 | Loss : 0.271769 | Accuracy : 92.133333
Iteration : 7750 | Loss : 0.271099 | Accuracy : 92.150000
Iteration : 7800 | Loss : 0.270434 | Accuracy : 92.166667
Iteration : 7850 | Loss : 0.269775 | Accuracy : 92.185000
Iteration : 7900 | Loss : 0.269120 | Accuracy : 92.211667
Iteration : 7950 | Loss : 0.268471 | Accuracy : 92.225000
Iteration : 8000 | Loss : 0.267827 | Accuracy : 92.251667
Iteration : 8050 | Loss : 0.267188 | Accuracy : 92.258333
Iteration : 8100 | Loss : 0.266554 | Accuracy : 92.273333
Iteration : 8150 | Loss : 0.265925 | Accuracy : 92.295000
Iteration : 8200 | Loss : 0.265300 | Accuracy : 92.321667
Iteration : 8250 | Loss : 0.264681 | Accuracy : 92.335000
Iteration : 8300 | Loss : 0.264066 | Accuracy : 92.366667
Iteration : 8350 | Loss : 0.263455 | Accuracy : 92.386667
Iteration : 8400 | Loss : 0.262850 | Accuracy : 92.405000
Iteration : 8450 | Loss : 0.262248 | Accuracy : 92.430000
Iteration : 8500 | Loss : 0.261652 | Accuracy : 92.445000
Iteration : 8550 | Loss : 0.261059 | Accuracy : 92.456667
Iteration : 8600 | Loss : 0.260472 | Accuracy : 92.473333
Iteration : 8650 | Loss : 0.259888 | Accuracy : 92.493333
Iteration : 8700 | Loss : 0.259308 | Accuracy : 92.511667
Iteration : 8750 | Loss : 0.258733 | Accuracy : 92.535000
Iteration : 8800 | Loss : 0.258161 | Accuracy : 92.553333
Iteration : 8850 | Loss : 0.257594 | Accuracy : 92.563333
Iteration : 8900 | Loss : 0.257030 | Accuracy : 92.580000
Iteration : 8950 | Loss : 0.256471 | Accuracy : 92.593333
Iteration : 9000 | Loss : 0.255915 | Accuracy : 92.605000
Iteration : 9050 | Loss : 0.255364 | Accuracy : 92.611667
Iteration : 9100 | Loss : 0.254815 | Accuracy : 92.626667
Iteration : 9150 | Loss : 0.254271 | Accuracy : 92.636667
Iteration : 9200 | Loss : 0.253729 | Accuracy : 92.670000
Iteration : 9250 | Loss : 0.253191 | Accuracy : 92.685000
Iteration : 9300 | Loss : 0.252657 | Accuracy : 92.705000
Iteration : 9350 | Loss : 0.252126 | Accuracy : 92.725000
Iteration : 9400 | Loss : 0.251599 | Accuracy : 92.745000
Iteration : 9450 | Loss : 0.251075 | Accuracy : 92.763333
Iteration : 9500 | Loss : 0.250554 | Accuracy : 92.781667
Iteration : 9550 | Loss : 0.250037 | Accuracy : 92.786667
Iteration : 9600 | Loss : 0.249523 | Accuracy : 92.798333
Iteration : 9650 | Loss : 0.249012 | Accuracy : 92.806667
Iteration : 9700 | Loss : 0.248505 | Accuracy : 92.830000
Iteration : 9750 | Loss : 0.248000 | Accuracy : 92.841667
Iteration : 9800 | Loss : 0.247499 | Accuracy : 92.850000
Iteration : 9850 | Loss : 0.247001 | Accuracy : 92.865000
Iteration : 9900 | Loss : 0.246507 | Accuracy : 92.870000
Iteration : 9950 | Loss : 0.246015 | Accuracy : 92.885000
Iteration : 10000 | Loss : 0.245527 | Accuracy : 92.901667
Iteration : 10050 | Loss : 0.245041 | Accuracy : 92.921667
Iteration : 10100 | Loss : 0.244559 | Accuracy : 92.930000
Iteration : 10150 | Loss : 0.244079 | Accuracy : 92.940000
Iteration : 10200 | Loss : 0.243603 | Accuracy : 92.951667
Iteration : 10250 | Loss : 0.243128 | Accuracy : 92.963333
Iteration : 10300 | Loss : 0.242657 | Accuracy : 92.973333
Iteration : 10350 | Loss : 0.242189 | Accuracy : 92.986667
Iteration : 10400 | Loss : 0.241724 | Accuracy : 92.995000
Iteration : 10450 | Loss : 0.241262 | Accuracy : 93.008333
Iteration : 10500 | Loss : 0.240802 | Accuracy : 93.018333
Iteration : 10550 | Loss : 0.240345 | Accuracy : 93.025000
Iteration : 10600 | Loss : 0.239890 | Accuracy : 93.038333
Iteration : 10650 | Loss : 0.239439 | Accuracy : 93.051667
Iteration : 10700 | Loss : 0.238989 | Accuracy : 93.068333
Iteration : 10750 | Loss : 0.238543 | Accuracy : 93.081667
Iteration : 10800 | Loss : 0.238099 | Accuracy : 93.090000
Iteration : 10850 | Loss : 0.237657 | Accuracy : 93.111667
Iteration : 10900 | Loss : 0.237218 | Accuracy : 93.136667
Iteration : 10950 | Loss : 0.236780 | Accuracy : 93.146667
Iteration : 11000 | Loss : 0.236346 | Accuracy : 93.161667
Iteration : 11050 | Loss : 0.235913 | Accuracy : 93.180000
Iteration : 11100 | Loss : 0.235484 | Accuracy : 93.188333
Iteration : 11150 | Loss : 0.235056 | Accuracy : 93.210000
Iteration : 11200 | Loss : 0.234630 | Accuracy : 93.221667
Iteration : 11250 | Loss : 0.234207 | Accuracy : 93.236667
Iteration : 11300 | Loss : 0.233786 | Accuracy : 93.255000
Iteration : 11350 | Loss : 0.233367 | Accuracy : 93.273333
Iteration : 11400 | Loss : 0.232950 | Accuracy : 93.288333
Iteration : 11450 | Loss : 0.232536 | Accuracy : 93.293333
Iteration : 11500 | Loss : 0.232124 | Accuracy : 93.303333
